date,open,high,low,close,tic
2018-01-01,0.71,0.715,0.632,0.7022,ADA
2018-01-01,8.38,8.48,8.18,8.48,BNB
2018-01-01,13850.5,13921.5,12877.7,13444.9,BTC
2018-01-01,240.89,260.28,230.03,233.89,BTG
2018-01-01,0.008927,0.00899,0.007961,0.008691,DOGE
2018-01-01,741.09,765.3,724.33,756.2,ETH
2018-01-01,0.5807,0.7379,0.5627,0.7266,LINK
2018-01-01,0.04862,0.06129,0.04231,0.0579,TRX
2018-01-01,1.98,2.09,1.81,2.05,XRP
2018-01-02,0.7022,0.8,0.675,0.762,ADA
2018-01-02,9.32,9.39,7.8,8.75,BNB
2018-01-02,13444.9,15306.1,12934.2,14754.1,BTC
2018-01-02,233.89,259.17,230.02,252.52,BTG
2018-01-02,0.008678,0.009878,0.008316,0.008961,DOGE
2018-01-02,756.17,882.61,756.17,861.97,ETH
2018-01-02,0.7966,0.8143,0.5533,0.6635,LINK
2018-01-02,0.0579,0.119,0.0579,0.09997,TRX
2018-01-02,2.05,2.21,1.89,2.19,XRP
2018-01-03,0.762,1.1,0.7601,1.1,ADA
2018-01-03,8.99,9.7,8.06,9.49,BNB
2018-01-03,14754.1,15435.0,14579.7,15156.6,BTC
2018-01-03,252.52,258.71,239.17,244.94,BTG
2018-01-03,0.009,0.009345,0.00834,0.009218,DOGE
2018-01-03,861.97,951.7,847.9,941.1,ETH
2018-01-03,0.6816,0.7199,0.6063,0.6777,LINK
2018-01-03,0.09809,0.131,0.08494,0.1294,TRX
2018-01-03,2.19,2.85,2.15,2.73,XRP
2018-01-04,1.11,1.38,1.04,1.13,ADA
2018-01-04,9.5,9.67,8.78,9.14,BNB
2018-01-04,15156.5,15408.7,14244.7,15180.1,BTC
2018-01-04,244.94,251.78,224.73,234.58,BTG
2018-01-04,0.009205,0.0103,0.008561,0.009613,DOGE
2018-01-04,941.0,997.44,901.03,944.83,ETH
2018-01-04,0.6834,1.06,0.6802,0.9547,LINK
2018-01-04,0.1307,0.3876,0.1172,0.2537,TRX
2018-01-04,2.73,3.29,2.58,2.73,XRP
2018-01-05,1.15,1.3,0.9,1.01,ADA
2018-01-05,10.31,16.87,10.07,14.85,BNB
2018-01-05,15180.1,17126.9,14832.4,16954.8,BTC
2018-01-05,234.65,263.69,229.01,233.09,BTG
2018-01-05,0.009613,0.01395,0.009434,0.01264,DOGE
2018-01-05,944.83,1018.37,933.98,967.13,ETH
2018-01-05,1.08,1.46,0.8515,0.9615,LINK
2018-01-05,0.2536,0.382,0.2083,0.2985,TRX
